click,blueTopIndex,blueTopName,blueTopPlay,blueJungleIndex,blueJungleName,blueJunglePlay,blueMidIndex,blueMidName,blueMidPlay,blueBotIndex,blueBotName,blueBotPlay,blueSupportIndex,blueSupportName,blueSupportPlay,speaker_early_index,speaker_late_index,ChampFam,TVJearly,TVJlate,blue_excel_early,blue_excel_late,blue_excel_general,speaker_excel_early,speaker_excel_late,RT,language,age,gender,education,Browser,OS,screenH,screenW,year_started,league_level,hours_total,games_weekly,champfam_total,criteria_early,criteria_late,hierarch_early,hierarch_late,time_in_minutes,participant_id
45,16,Camille,0.0162,62,Lee Sin,0.1486,86,Pantheon,0.0121,65,Lucian,0.0694,11,Bard,0.0368,1,1,5,,,,,,,,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
46,16,Camille,0.0162,62,Lee Sin,0.1486,86,Pantheon,0.0121,65,Lucian,0.0694,11,Bard,0.0368,1,1,5,1,0,,,,,,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
47,16,Camille,0.0162,62,Lee Sin,0.1486,86,Pantheon,0.0121,65,Lucian,0.0694,11,Bard,0.0368,1,1,5,1,0,0.7,0.4,0.55,,,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
48,16,Camille,0.0162,62,Lee Sin,0.1486,86,Pantheon,0.0121,65,Lucian,0.0694,11,Bard,0.0368,1,1,5,1,0,0.7,0.4,0.55,0.7,,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
49,16,Camille,0.0162,62,Lee Sin,0.1486,86,Pantheon,0.0121,65,Lucian,0.0694,11,Bard,0.0368,1,1,5,1,0,0.7,0.4,0.55,0.7,0.55,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
50,59,Kled,0.0147,83,Olaf,0.0411,89,Qiyana,0.0188,46,Jhin,0.0642,142,Yuumi,0.0784,1,1,5,,,,,,,,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
51,59,Kled,0.0147,83,Olaf,0.0411,89,Qiyana,0.0188,46,Jhin,0.0642,142,Yuumi,0.0784,1,1,4,0,1,,,,,,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
52,59,Kled,0.0147,83,Olaf,0.0411,89,Qiyana,0.0188,46,Jhin,0.0642,142,Yuumi,0.0784,1,1,4,0,1,0.35,0.7,0.5,,,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
53,59,Kled,0.0147,83,Olaf,0.0411,89,Qiyana,0.0188,46,Jhin,0.0642,142,Yuumi,0.0784,1,1,4,0,1,0.35,0.7,0.5,0.6,,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
54,59,Kled,0.0147,83,Olaf,0.0411,89,Qiyana,0.0188,46,Jhin,0.0642,142,Yuumi,0.0784,1,1,4,0,1,0.35,0.7,0.5,0.6,0.7,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
55,133,Vladimir,0.0201,92,Rammus,0.02,140,Yasuo,0.0507,46,Jhin,0.0642,130,Vel'Koz,0.0167,0,1,5,,,,,,,,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
