click,blueTopIndex,blueTopName,blueTopPlay,blueJungleIndex,blueJungleName,blueJunglePlay,blueMidIndex,blueMidName,blueMidPlay,blueBotIndex,blueBotName,blueBotPlay,blueSupportIndex,blueSupportName,blueSupportPlay,speaker_early_index,speaker_late_index,ChampFam,TVJearly,TVJlate,blue_excel_early,blue_excel_late,blue_excel_general,speaker_excel_early,speaker_excel_late,RT,language,age,gender,education,background_RT,Browser,OS,screenH,screenW,year_started,league_level,hours_total,games_weekly,champfam_total,time_in_minutes,participant_id,criteria_early,criteria_late,hierarch_early,hierarch_late
43,85,Ornn,0.0374,143,Zac,0.0667,61,LeBlanc,0.0332,7,Aphelios,0.0536,66,Lulu,0.0534,1,1,0,0,1,0.32,0.65,0.48,0.23,,35.087,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
44,85,Ornn,0.0374,143,Zac,0.0667,61,LeBlanc,0.0332,7,Aphelios,0.0536,66,Lulu,0.0534,1,1,0,0,1,0.32,0.65,0.48,0.23,0.64,29.064,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
45,87,Poppy,0.0107,62,Lee Sin,0.1486,112,Sylas,0.0361,49,Kalista,0.0204,76,Nami,0.0652,0,0,0,,,,,,,,29.064,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
46,87,Poppy,0.0107,62,Lee Sin,0.1486,112,Sylas,0.0361,49,Kalista,0.0204,76,Nami,0.0652,0,0,0,0,0,,,,,,29.064,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
47,87,Poppy,0.0107,62,Lee Sin,0.1486,112,Sylas,0.0361,49,Kalista,0.0204,76,Nami,0.0652,0,0,0,0,0,0.16,0.34,0.26,,,29.064,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
48,87,Poppy,0.0107,62,Lee Sin,0.1486,112,Sylas,0.0361,49,Kalista,0.0204,76,Nami,0.0652,0,0,0,0,0,0.16,0.34,0.26,0.19,,29.064,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
49,87,Poppy,0.0107,62,Lee Sin,0.1486,112,Sylas,0.0361,49,Kalista,0.0204,76,Nami,0.0652,0,0,0,0,0,0.16,0.34,0.26,0.19,0.32,52.304,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
50,85,Ornn,0.0374,25,Elise,0.06,81,Nocturne,0.0055,65,Lucian,0.0694,11,Bard,0.0368,1,0,0,,,,,,,,52.304,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
51,85,Ornn,0.0374,25,Elise,0.06,81,Nocturne,0.0055,65,Lucian,0.0694,11,Bard,0.0368,1,0,0,1,1,,,,,,52.304,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
52,85,Ornn,0.0374,25,Elise,0.06,81,Nocturne,0.0055,65,Lucian,0.0694,11,Bard,0.0368,1,0,0,1,1,0.8,0.77,0.65,,,52.304,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
