Comp,CompType,EarlyResponse,LateResponse,SpeakerEarly,SpeakerLate,TransformEarly,TransformLate,ParticipantID,EarlyTVJ,LateTVJ,EarlyPrior,LatePrior,GenPrior,EarlyShift,LateShift,CompBorderline,Participant,UnextremeEarly,UnextremeLate,ProbitEarly,ProbitLate,FromSpeakerEarly,FromSpeakerLate
12,6,0.65,0.55,1,1,0.15,0.05,20,1,0,0.69,0.59,0.64,-0.04,0.17,3,9,0.65,0.55,0.385320466,0.125661347,0.35,0.45
2,1,0.71,0.72,0,0,0.21,0.22,20,1,1,0.8,0.7,0.69,-0.09,0.34,1,9,0.71,0.72,0.55338472,0.582841507,0.71,0.72
7,4,0.79,0.82,1,0,0.29,0.32,20,1,1,0.81,0.83,0.85,-0.02,0.44,1,9,0.79,0.82,0.806421247,0.915365088,0.21,0.82
9,5,0.78,0.84,0,1,0.28,0.34,20,1,1,0.87,0.92,0.9,-0.09,0.46,2,9,0.78,0.84,0.772193214,0.994457883,0.78,0.16
1,1,0.75,0.6,1,1,0.25,0.1,20,1,1,0.79,0.72,0.76,-0.04,0.22,1,9,0.75,0.6,0.67448975,0.253347103,0.25,0.4
4,2,0.73,0.6,0,1,0.23,0.1,20,1,1,0.71,0.64,0.64,0.02,0.22,2,9,0.73,0.6,0.612812991,0.253347103,0.73,0.4
10,5,0.77,0.65,1,0,0.27,0.15,20,1,1,0.8,0.68,0.7,-0.03,0.27,2,9,0.77,0.65,0.738846849,0.385320466,0.23,0.65
8,4,0.73,0.63,0,1,0.23,0.13,20,1,1,0.71,0.75,0.7,0.02,0.25,1,9,0.73,0.63,0.612812991,0.331853346,0.73,0.37
6,3,0.76,0.7,1,1,0.26,0.2,20,1,0,0.8,0.66,0.71,-0.04,0.32,3,9,0.76,0.7,0.706302563,0.524400513,0.24,0.3
3,2,0.71,0.53,1,0,0.21,0.03,20,1,0,0.73,0.59,0.66,-0.02,0.15,2,9,0.71,0.53,0.55338472,0.075269862,0.29,0.53
6,3,0.49,0.83,1,1,0.01,0.33,21,1,1,0.84,0.81,0.85,-0.35,0.45,3,10,0.49,0.83,-0.025068908,0.954165253,0.51,0.17
5,3,0.17,0.63,0,0,0.33,0.13,21,0,0,0.25,0.26,0.3,-0.08,0.25,3,10,0.17,0.63,-0.954165253,0.331853346,0.17,0.63
2,1,0.89,0.5,1,0,0.39,0,21,1,1,0.36,0.85,0.82,0.53,0.12,1,10,0.89,0.5,1.22652812,0,0.11,0.5
12,6,0.72,0.82,1,1,0.22,0.32,21,1,1,0.68,0.72,0.68,0.04,0.44,3,10,0.72,0.82,0.582841507,0.915365088,0.28,0.18
8,4,0.42,0.53,1,0,0.08,0.03,21,1,0,0.7,0.21,0.61,-0.28,0.15,1,10,0.42,0.53,-0.201893479,0.075269862,0.58,0.53
7,4,0.67,0.72,0,1,0.17,0.22,21,1,0,0.75,0.44,0.7,-0.08,0.34,1,10,0.67,0.72,0.439913166,0.582841507,0.67,0.28
10,5,0.84,0.9,1,1,0.34,0.4,21,0,1,0.37,0.88,0.78,0.47,0.52,2,10,0.84,0.9,0.994457883,1.281551566,0.16,0.1
11,6,0.47,0.17,0,0,0.03,0.33,21,0,0,0.24,0.22,0.23,0.23,-0.21,3,10,0.47,0.17,-0.075269862,-0.954165253,0.47,0.17
1,1,0.06,0.89,0,1,0.44,0.39,21,0,0,0.07,0.08,0.16,-0.01,0.51,1,10,0.06,0.89,-1.554773595,1.22652812,0.06,0.11
4,2,0.86,0.18,1,0,0.36,0.32,21,1,1,0.99,0.87,0.89,-0.13,-0.2,2,10,0.86,0.18,1.080319341,-0.915365088,0.14,0.18
3,2,0.06,0.88,0,1,0.44,0.38,21,1,1,0.93,0.94,0.93,-0.87,0.5,2,10,0.06,0.88,-1.554773595,1.174986792,0.06,0.12
9,5,0.09,0.2,0,0,0.41,0.3,21,1,0,0.66,0.39,0.8,-0.57,-0.18,2,10,0.09,0.2,-1.340755034,-0.841621234,0.09,0.2
2,1,0.9,0.75,0,1,0.4,0.25,22,0,0,0.5,0.5,0.75,0.4,0.37,1,11,0.9,0.75,1.281551566,0.67448975,0.9,0.25
5,3,0.95,0.85,0,1,0.45,0.35,22,1,1,0.6,0.6,0.75,0.35,0.47,3,11,0.95,0.85,1.644853627,1.036433389,0.95,0.15
6,3,0.85,0.9,1,0,0.35,0.4,22,1,1,0.9,0.9,0.9,-0.05,0.52,3,11,0.85,0.9,1.036433389,1.281551566,0.15,0.9
1,1,0.8,0.85,1,0,0.3,0.35,22,1,1,0.8,0.8,0.85,0,0.47,1,11,0.8,0.85,0.841621234,1.036433389,0.2,0.85
9,5,0.75,0.75,0,1,0.25,0.25,22,1,1,0.85,0.8,0.8,-0.1,0.37,2,11,0.75,0.75,0.67448975,0.67448975,0.75,0.25
8,4,0.8,0.8,1,1,0.3,0.3,22,1,1,0.8,0.8,0.85,0,0.42,1,11,0.8,0.8,0.841621234,0.841621234,0.2,0.2
4,2,0.8,0.8,1,1,0.3,0.3,22,1,1,0.85,0.8,0.85,-0.05,0.42,2,11,0.8,0.8,0.841621234,0.841621234,0.2,0.2
3,2,0.7,0.7,0,0,0.2,0.2,22,1,1,0.75,0.7,0.8,-0.05,0.32,2,11,0.7,0.7,0.524400513,0.524400513,0.7,0.7
10,5,0.75,0.7,1,0,0.25,0.2,22,1,1,0.75,0.7,0.75,0,0.32,2,11,0.75,0.7,0.67448975,0.524400513,0.25,0.7
11,6,0.65,0.65,0,0,0.15,0.15,22,1,1,0.7,0.65,0.75,-0.05,0.27,3,11,0.65,0.65,0.385320466,0.385320466,0.65,0.65
7,4,0.8,0.75,0,0,0.3,0.25,22,1,1,0.85,0.8,0.9,-0.05,0.37,1,11,0.8,0.75,0.841621234,0.67448975,0.8,0.75
12,6,0.75,0.75,1,1,0.25,0.25,22,1,1,0.7,0.7,0.75,0.05,0.37,3,11,0.75,0.75,0.67448975,0.67448975,0.25,0.25
1,1,0.95,0.75,0,0,0.45,0.25,24,1,0,0.5,0.5,0.5,0.45,0.37,1,12,0.95,0.75,1.644853627,0.67448975,0.95,0.75
6,3,0.5,0.75,0,1,0,0.25,24,0,1,0.5,0.5,0.5,0,0.37,3,12,0.5,0.75,0,0.67448975,0.5,0.25
11,6,0.8,0.8,1,0,0.3,0.3,24,1,1,0.8,0.8,0.8,0,0.42,3,12,0.8,0.8,0.841621234,0.841621234,0.2,0.8
4,2,0.2,0.8,0,0,0.3,0.3,24,0,1,0.2,0.8,0.75,0,0.42,2,12,0.2,0.8,-0.841621234,0.841621234,0.2,0.8
8,4,0.9,0.9,1,0,0.4,0.4,24,1,1,0.5,0.5,0.9,0.4,0.52,1,12,0.9,0.9,1.281551566,1.281551566,0.1,0.9
10,5,0.9,0.9,1,1,0.4,0.4,24,0,0,0.5,0.5,0.5,0.4,0.52,2,12,0.9,0.9,1.281551566,1.281551566,0.1,0.1
12,6,0.9,0.9,0,1,0.4,0.4,24,1,1,0.9,0.9,0.9,0,0.52,3,12,0.9,0.9,1.281551566,1.281551566,0.9,0.1
2,1,0.9,0.9,1,1,0.4,0.4,24,1,1,0.9,0.9,0.9,0,0.52,1,12,0.9,0.9,1.281551566,1.281551566,0.1,0.1
9,5,0.9,0.9,0,0,0.4,0.4,24,1,0,0.9,0.1,0.8,0,0.52,2,12,0.9,0.9,1.281551566,1.281551566,0.9,0.9
5,3,0.9,0.9,1,0,0.4,0.4,24,0,1,0.4,0.8,0.9,0.5,0.52,3,12,0.9,0.9,1.281551566,1.281551566,0.1,0.9
7,4,0.9,0.9,0,1,0.4,0.4,24,1,1,0.9,0.9,0.9,0,0.52,1,12,0.9,0.9,1.281551566,1.281551566,0.9,0.1
3,2,0.9,0.9,1,1,0.4,0.4,24,1,0,0.95,0.05,0.92,-0.05,0.52,2,12,0.9,0.9,1.281551566,1.281551566,0.1,0.1
2,1,0.73,0.39,1,0,0.23,0.11,25,1,0,0.59,0.38,0.73,0.14,0.01,1,13,0.73,0.39,0.612812991,-0.279319034,0.27,0.39
7,4,0.69,0.32,1,1,0.19,0.18,25,0,1,0.35,0.6,0.48,0.34,-0.06,1,13,0.69,0.32,0.495850347,-0.467698799,0.31,0.68
4,2,0.62,0.4,1,1,0.12,0.1,25,1,0,0.6,0.37,0.59,0.02,0.02,2,13,0.62,0.4,0.305480788,-0.253347103,0.38,0.6
12,6,0.43,0.65,0,1,0.07,0.15,25,1,0,0.57,0.38,0.51,-0.14,0.27,3,13,0.43,0.65,-0.176374165,0.385320466,0.43,0.35
8,4,0.66,0.44,0,0,0.16,0.06,25,0,1,0.35,0.63,0.65,0.31,0.06,1,13,0.66,0.44,0.412463129,-0.150969215,0.66,0.44
9,5,0.63,0.33,1,0,0.13,0.17,25,0,0,0.5,0.52,0.58,0.13,-0.05,2,13,0.63,0.33,0.331853346,-0.439913166,0.37,0.33
1,1,0.39,0.62,0,1,0.11,0.12,25,0,1,0.59,0.36,0.5,-0.2,0.24,1,13,0.39,0.62,-0.279319034,0.305480788,0.39,0.38
5,3,0.58,0.67,1,1,0.08,0.17,25,0,1,0.39,0.58,0.5,0.19,0.29,3,13,0.58,0.67,0.201893479,0.439913166,0.42,0.33
11,6,0.62,0.4,1,0,0.12,0.1,25,0,1,0.41,0.66,0.5,0.21,0.02,3,13,0.62,0.4,0.305480788,-0.253347103,0.38,0.4
6,3,0.39,0.44,0,0,0.11,0.06,25,0,1,0.33,0.64,0.5,0.06,0.06,3,13,0.39,0.44,-0.279319034,-0.150969215,0.39,0.44
3,2,0.38,0.41,0,0,0.12,0.09,25,0,1,0.43,0.61,0.49,-0.05,0.03,2,13,0.38,0.41,-0.305480788,-0.227544977,0.38,0.41
10,5,0.35,0.62,0,1,0.15,0.12,25,0,1,0.35,0.61,0.51,0,0.24,2,13,0.35,0.62,-0.385320466,0.305480788,0.35,0.38
9,5,0.08,0.78,0,1,0.42,0.28,26,1,0,0.6,0.2,0.56,-0.52,0.4,2,14,0.08,0.78,-1.40507156,0.772193214,0.08,0.22
7,4,0.12,0.74,0,1,0.38,0.24,26,0,0,0.5,0.48,0.76,-0.38,0.36,1,14,0.12,0.74,-1.174986792,0.643345405,0.12,0.26
3,2,0.77,0.8,1,1,0.27,0.3,26,1,0,0.62,0.39,0.68,0.15,0.42,2,14,0.77,0.8,0.738846849,0.841621234,0.23,0.2
8,4,0.75,0.15,1,0,0.25,0.35,26,0,1,0.24,0.64,0.61,0.51,-0.23,1,14,0.75,0.15,0.67448975,-1.036433389,0.25,0.15
1,1,0.16,0.76,0,1,0.34,0.26,26,0,1,0.31,0.71,0.6,-0.15,0.38,1,14,0.16,0.76,-0.994457883,0.706302563,0.16,0.24
2,1,0.82,0.18,1,0,0.32,0.32,26,0,0,0.42,0.35,0.76,0.4,-0.2,1,14,0.82,0.18,0.915365088,-0.915365088,0.18,0.18
